id	recommendation_rank_jp_beginner	service_name	company	home_region	platform_type	official_site_url	beginner_tier	zero_to_one_score_1_5	growth_stage	japanese_site_fit	japanese_site_fit_reason	japanese_ui_support	minimum_traffic	minimum_site_age	review_required	review_speed	custom_domain_requirement	install_method	ads_txt	bank_transfer	japan_bank_only_complete	bank_method	payout_processor	paypal	payoneer	wise_revolut	stripe_payout	crypto	minimum_payout_overall	minimum_payout_bank	payout_schedule	payout_currency	payout_fee_note	setup_fee	contract_exclusivity	ad_models	ad_formats	header_bidding_or_programmatic	adult_policy	AI_content_policy_note	adsense_good_standing_required	UX_intrusiveness_1_5	beginner_recommendation	change_risk	confidence	last_verified_date	source_primary_url	source_requirements_url	source_payment_url	notes	slug	affiliate_url	pros	cons	recommended_for
1	1	忍者AdMax	忍者ツールズ株式会社	日本	国内アドネットワーク / SSP型	https://www.ninja.co.jp/admax/	S	5	0→1 / 超小規模	公式OK	国内サービス。日本語サイト向け運用が前提。	あり	公開最低PVなし	公開要件なし	自動チェックあり	最短数分〜初回広告枠の自動チェック	要確認	JavaScript広告タグ	状況次第	Yes	Yes	忍者ポイント→国内銀行振込	忍者ポイント	No/主要手段ではない	No	No	No	No	500円	500円	ポイント確定後に交換申請	JPY	一部銀行無料、その他銀行は手数料あり（公式ヘルプで要確認）	0円	なし	CPM/CPC/成果系を自動最適化	バナー、オーバーレイ等（枠種別による）	複数広告会社のオークション	禁止カテゴリあり。規約確認必須	AI生成そのものより規約・品質・禁止コンテンツ順守が重要	No	2	最有力。『まず1円』の体験を作りやすく、日本の銀行だけで完結。	Medium	High	2026-08-12	https://www.ninja.co.jp/admax/	https://www.ninja.co.jp/admax/help/faq/10327/	https://www.ninja.co.jp/point/	GitHub Pages/Vercel/Cloudflare Pages固有の承認を公式が保証しているわけではない。タグ設置可能性からの技術推定。	ninja-admax		最短5分で掲載を始められ、問題がなければ初回バナー表示後30分程度で配信される。30社以上の広告会社を横断して広告を自動選別し、PC・スマートフォンを一つの管理画面で扱える。	報酬はまず忍者ポイントで付与され、現金化には交換手続きが必要。広告枠の自動審査があり、禁止コンテンツや枠の状態によっては配信されない。	日本語の小規模サイトで、複雑な広告調整をせず、まず少額でも広告収益を発生させたい人。国内サービスと日本円での受取を重視する人。
2	2	i-mobile Ad Network	株式会社アイモバイル	日本	国内アドネットワーク	https://www.i-mobile.co.jp/service/adnetwork.aspx	A	4	0→1 / 小規模	公式OK	国内Publisher向けサービス。	あり	公開最低PVなし	公開要件なし	Yes	目安2〜3営業日	要確認	JavaScript広告タグ	状況次第	Yes	Yes	国内銀行振込	自社支払	No	No	No	No	No	3,000円	3,000円	申請月の翌月15日目安	JPY	振込手数料250円（公式ヘルプ記載）	0円	なし	CPC/CPM等	バナー等	アドネットワーク	禁止カテゴリあり	AI固有の公開基準は確認できず。メディア審査・規約準拠。	No	2	国内銀行で完結し、審査期間も短め。忍者AdMaxの次候補。	Medium	High	2026-08-12	https://www.i-mobile.co.jp/service/adnetwork.aspx	https://www2.i-mobile.co.jp/help_partner_sp.aspx	https://www2.i-mobile.co.jp/help_partner_sp.aspx	収益残高の有効期限・申請ルールがあるため公式ヘルプを定期確認。	imobile-ad-network		18歳以上で日本国内の銀行口座があれば登録でき、最低支払額は3,000円。サイト審査は通常2〜3営業日で、他社広告との併用も認められている。	振込時に一律250円の事務手数料がかかり、報酬の繰越期限は2年間。サイトごとの審査が必要で、管理画面はスマートフォン向けに最適化されていない。	国内銀行で完結させたい日本語サイト運営者で、数日の審査を待てる人。3,000円からの受取と国内事業者の運用を重視する人。
3	3	Zucks Ad Network	株式会社Zucks	日本	国内アドネットワーク	https://zucks.co.jp/publisher/adnetwork/	A-	4	0→1 / 小規模	公式OK	国内Web/App Publisher向け。	あり	公開最低PVなし	公開要件なし	Yes	公開固定日数なし	要確認	広告タグ	状況次第	Yes	Yes	国内銀行振込	自社支払	No	No	No	No	No	3,000円	3,000円	3,000円以上で翌月末支払	JPY	振込手数料300円（公式FAQ記載）	0円	なし	CPC/CPM	バナー、動画、ネイティブ等	広告ネットワーク	禁止カテゴリあり	AI固有の公開基準は確認できず。メディア審査・規約準拠。	No	2	国内銀行完結。スマホ/Web向けで日本語サイトの現実的候補。	Medium	High	2026-08-12	https://zucks.co.jp/publisher/adnetwork/	https://zucks.co.jp/publisher/adnetwork/faq/	https://zucks.co.jp/publisher/adnetwork/faq/	サイトごとのメディア審査あり。	zucks-ad-network		バナーに加えて動画・ネイティブなど複数形式を扱い、AMPやUnity、AdMobメディエーションにも対応。3,000円を超えた月の翌月末に支払われる。	掲載媒体の審査があり、承認日数は公開されていない。振込手数料は一律300円で、報酬の通常の繰越期間は1年間。	スマートフォン向けサイトやアプリで、バナー以外の広告形式も試したい人。国内銀行振込と翌月末払いを重視する人。
4	4	Adsterra	Adsterra	グローバル	海外アドネットワーク	https://adsterra.com/publishers/	A	4	0→1 / 小規模	高確度OK	グローバルPublisher向け。日本GEO実績あり。日本語そのものの公式言語一覧は確認できず。	限定的/英語中心	なし	公開要件なし	Yes（軽め）	公式案内では数分〜短時間	必須ではない	JavaScript/HTMLタグ	推奨/形式による	Yes	Yes	Hyperwallet Local Bank Transfer / Wire	Hyperwallet等	Yes	Yes/手段は地域・時期による	手段は地域・時期による	No	Yes（手段は地域による）	$5〜（手段別）	$25目安（Local Bank Transfer。別公式記事に$50表記もあり要ダッシュボード確認）	月2回系（支払方法・条件による）	JPY Local Bank Transfer対応	Local Bank Transferは公式記事で$7＋FX。最低額の公式記載に$25/$50の揺れあり。	0	なし	CPM/CPC/CPA等	Banner, Native Banner, Popunder, Social Bar, Smartlink等	ネットワーク最適化	カテゴリ/規約による	AI固有禁止は確認できず。オリジナル性・合法性・トラフィック品質が重要。	No	4	海外勢では最有力。Banner/Native中心なら初心者実験向き。日本銀行JPY送金が強い。	High	High	2026-08-12	https://adsterra.com/publishers/	https://adsterra.com/blog/set-up-publishers-dashboard/	https://adsterra.com/blog/payouts-in-local-currency/	広告形式によってUXが大きく変わる。初心者はPopunderよりBanner/Nativeを優先。	adsterra		最低トラフィック要件がなく、公式案内では承認は約10分。バナー、ネイティブ、Social Bar、Popunder、Smartlinkなど広告形式が多く、Webサイトがない導線にも対応する。	管理・サポート情報は英語中心。Popunderやインタースティシャルなどは読者体験を損ねる可能性があるため、形式を選んで慎重に配置する必要がある。支払下限は受取方法ごとに異なる。	AdSense以外を早く試したい小規模サイトや、海外トラフィックも収益化したい人。英語の管理画面や本人確認に対応でき、穏当な広告形式を自分で選べる人。
5	5	adstir	ユナイテッドマーケティングテクノロジーズ株式会社	日本	国内SSP / アドネットワーク	https://ja.ad-stir.com/	A-	3	小規模〜成長	公式OK	国内個人Publisher登録可。	あり	公開最低PVなし	公開要件なし	Yes	公開固定日数なし	要確認	広告タグ/SDK等	状況次第	Yes	Yes	日本国内銀行口座	自社支払	No	No	No	No	No	5,000円（税抜）	5,000円（税抜）	基準額到達後、規約所定日	JPY	振込手数料はadstir負担	0	なし/契約条件確認	CPM/CPC等	バナー、ネイティブ、動画、インタースティシャル、レコメンド等	SSP	禁止カテゴリあり	AI固有の公開基準は確認できず。メディア審査・規約準拠。	No	3	日本語・国内銀行で安心。ただし5,000円到達まで支払い繰越。	Medium	High	2026-08-12	https://ja.ad-stir.com/	https://ja.ad-stir.com/register	https://ja.ad-stir.com/rules.html	個人登録可能。	adstir		日本語で登録でき、個人も申込み可能。Webサイトとアプリの両方に対応し、バナー、ネイティブ、動画、インタースティシャルなど複数形式を一つのSSPで扱える。	媒体審査があり、審査期間や最低トラフィックの明確な公開目安は確認できない。最低支払額は5,000円（税抜）で、超小規模サイトでは受取まで時間がかかる可能性がある。	日本語サポートを重視し、スマートフォン向けサイトまたはアプリを複数の広告形式で収益化したい人。5,000円まで報酬を積み上げられる人。
6	30	Google AdSense	Google	グローバル	コンテキスト広告 / ディスプレイ広告	https://adsense.google.com/	C	1	比較基準 / AdSense審査通過後	公式OK	日本語はAdSenseのサポート言語。	あり	公開最低PVなし	公開要件なし	Yes	数日〜数週間以上の場合あり	必須	AdSenseコード / ads.txt / meta検証	推奨（サイト検証にも利用可）	Yes	Yes	日本の銀行口座への電子送金（地域設定による）	Google Payments	No	No/通常不要	地域・口座要件により非推奨	No	No	JPY支払基準8,000円	8,000円	月次（支払基準到達後）	JPY	Google側の通常送金手数料は支払方法による	0	なし	インプレッションベース中心/広告オークション	Display, in-page, anchor, vignette等	Google広告オークション	厳格なPublisher Policies	AI利用自体は一律禁止ではないが、低価値・複製・scaled abuse等は不可。	—	2	本DBでは非推奨の比較基準。通常サイト申請は独自ドメイン前提で、審査不承認時に修正点を絞り込みにくい。AdSenseに通らない人は上位の代替候補を比較。	Medium	High	2026-08-11	https://adsense.google.com/	https://support.google.com/adsense/answer/2784438?hl=ja	https://support.google.com/adsense/answer/1709871?hl=ja	通常サイト申請は標準ドメインURLを入力。Blogger等Host Partnerは別申請経路のため、このDBの独自ドメイン判定から除外。Googleは承認率を公表していないため、非公式な却下率は採用しない。	google-adsense				
7	6	AdMaven	AdMaven	グローバル	海外アドネットワーク	https://ad-maven.com/publishers/	B	3	0→1 / 小規模	高確度OK	グローバル向け。日本語を明示した公式一覧は確認できず。	英語中心	公開最低PVを確認できず	公開要件を確認できず	Yes/サイト検証	公開固定日数なし	要確認	JS / root file等で検証	状況次第	Yes	Conditional	International Wire	自社/外部支払手段	Yes	Yes	明示なし	No	Yes	$1（PayPal）等、手段別	$800（Wire）	Net+30	USD等	Wireは高額最低支払・手数料あり	0	なし	CPM/CPA等	Push, In-page Push, Pop, Interstitial等	ネットワーク	カテゴリ/規約による	AI固有の公開基準は確認できず。トラフィック品質・規約重視。	No	5	PayPalなら低額出金だが、日本銀行だけで完結させるとWire $800が重い。	High	Medium	2026-08-11	https://ad-maven.com/publishers/	https://publishers-help.ad-maven.com/en/article/does-my-website-need-to-be-approved-before-i-begin-z7fpsu/	https://publishers-help.ad-maven.com/en/article/payment-method-fees-policy-1ltqfqd/		admaven				
8	7	Infolinks	Infolinks Media	グローバル	In-text / Native / Display	https://www.infolinks.com/	C+	3	0→1 / 小規模	個別審査	グローバル展開だが、2026年公式FAQで日本語を明示した対応言語一覧を確認できず。	英語中心	なし	公開要件なし	Yes	通常審査あり（固定日数は要確認）	要確認	JavaScript	状況次第	Yes	Conditional	International Bank Wire / Payoneer Local Bank等	支払方法別	Yes	Yes	明示なし	No	No/主要手段ではない	$50（PayPal等）	$100（Wire）	Net45目安	USD等	Wireは$25＋銀行側手数料の可能性	0	なし	CPC/CPM等	InText, InFold, InTag等	広告ネットワーク	規約禁止カテゴリあり	AI固有禁止は確認できず。サイト品質審査あり。	No	3	PV条件なしは魅力。ただし日本語在庫とWire条件を先に検証したい実験枠。	Medium	Medium	2026-08-11	https://www.infolinks.com/	https://sites0001.infolinks.com/support/quality/what-are-the-eligibility-criteria-for-my-site-to-qualify-with-infolinks	https://sites0001.infolinks.com/support/payments/can-i-receive-my-payment-via-bank-wire-transfer	収益分配70%の公式Service Agreementあり。	infolinks				
9	8	Adcash	Adcash	グローバル	海外アドネットワーク	https://adcash.com/publishers/	C+	3	0→1 / 小規模	個別審査	グローバルPublisher向け。日本語明示の公式言語条件は確認できず。	英語中心	公開最低PVを公式ヘルプで確認できず	不明	Yes/サイト審査	不明	要確認	広告タグ	状況次第	Yes	Conditional	Bank Wire	Adcash	Yes	No/主要手段ではない	Revolut Yes	No	Yes	$5相当（PayPal/Revolut等）	$100（Bank Transfer）	日次支払申請対応（条件あり）	USD/EUR等	手段別の手数料あり	0	なし	CPM/CPC/CPA等	Display, Pop, Native等	広告ネットワーク	規約カテゴリによる	AI固有の公開基準は確認できず。	No	4	海外実験枠。銀行のみだと$100閾値。	High	Medium	2026-08-11	https://adcash.com/publishers/		https://support.adcash.com/en/articles/364-publisher-payments-overview	支払方法: https://support.adcash.com/en/articles/329-supported-payment-methods-for-publishers	adcash				
10	9	HilltopAds	HilltopAds	グローバル	海外アドネットワーク	https://hilltopads.com/publishers	C	3	0→1 / 小規模	個別審査	グローバル向け。日本語の公式言語明記は確認できず。	英語中心	なし	公開要件なし	Yes/所有権検証	不明	要確認	file / meta verification + ad code	状況次第	Yes	Conditional	International Wire	支払方法別	Yes	No/主要手段ではない	Wise Yes	No	Yes	$20（Wise等）	$1,000（Wire）	毎週火曜 Net7	USD等	Wireは高額閾値・手数料	0	なし	CPM等	Popunder, In-page, Video, Banner, MultiTag	ネットワーク	規約範囲で幅広い	AI固有の公開基準は確認できず。	No	5	PV条件は軽いが、日本銀行のみだと$1,000 Wireがボトルネック。	High	High	2026-08-11	https://hilltopads.com/publishers	https://hilltopads.com/publishers-help/en/articles/10851783-what-traffic-can-i-monetize-with-hilltopads	https://hilltopads.com/publishers-help/en/articles/9060558-how-to-withdraw-your-earnings		hilltopads				
