column	type	required	description
id	integer	必須	連番ID
platform_name	string	必須	サービス名
slug	string	必須	将来のURL用固定slug
operator_name	string	推奨	運営会社・運営主体
operator_country	string	必須	運営主体の国
region_group	enum	必須	国内／海外
platform_model	enum-like	必須	マーケットプレイス／ストア作成／MoR決済／講座／会員制／受託
merchant_of_record	enum	必須	Yes／No／Partial／Unknown。販売時の法的販売者か
mor_scope	string	推奨	MoRが負担する税・返金・チャージバック等
japanese_ui	enum	必須	Yes／Partial／No
japanese_listing_allowed	enum	必須	Yes／Conditional／Unknown
listing_languages	string	必須	出品ページで使用可能な主な言語
seller_regions	string	必須	登録可能地域の概要
japan_resident_signup	enum	必須	Yes／Conditional／Unknown
overseas_japanese_signup	enum	必須	Yes／Conditional／Unknown
individual_seller	enum	必須	Yes／Conditional／No／Unknown
business_required	enum	必須	Yes／No／Conditional／Unknown
identity_verification	string	必須	KYC・本人確認の概要
tax_handling	string	必須	消費税・VAT・売上税の処理主体
buyer_invoice_receipt	string	推奨	購入者向け領収書・インボイス
product_pdf_ebook	boolean	必須	PDF・電子書籍向き
product_templates	boolean	必須	テンプレート・プロンプト向き
product_images_design	boolean	必須	画像・デザイン素材向き
product_audio	boolean	必須	音声・音楽向き
product_video	boolean	必須	動画ファイル向き
product_course	boolean	必須	オンライン講座向き
product_software	boolean	必須	ソフトウェア・プラグイン向き
product_saas	boolean	必須	SaaS課金向き
product_game_assets	boolean	必須	ゲーム・ゲーム素材向き
product_membership	boolean	必須	会員制・月額支援向き
product_commission_service	boolean	必須	制作依頼・相談販売向き
one_time_sale	enum	必須	Yes／No／Conditional
subscription_sale	enum	必須	Yes／No／Conditional
pay_what_you_want	enum	推奨	Yes／No／Conditional／Unknown
license_key_support	enum	推奨	Yes／No／Plugin／API／Unknown
automatic_file_delivery	enum	必須	Yes／No／Conditional
file_limit_note	string	推奨	ファイル容量・個数制限
marketplace_discovery	enum	必須	Strong／Medium／Weak／None
custom_storefront	enum	必須	Yes／Limited／No
custom_domain	enum	推奨	Yes／Paid／No／Unknown
embed_checkout	enum	推奨	Yes／Limited／No／Unknown
affiliate_program_for_sellers	enum	推奨	Yes／No／Conditional／Unknown
coupon_discount	enum	推奨	Yes／No／Conditional／Unknown
buyer_card_payment	enum	必須	Yes／Conditional／Unknown
buyer_paypal_payment	enum	必須	Yes／Conditional／No／Unknown
buyer_other_payments	string	推奨	コンビニ・銀行・Apple Pay等
seller_bank_payout	enum	必須	Yes／Conditional／No／Unknown
seller_paypal_payout	enum	必須	Yes／Conditional／No／Unknown
seller_payoneer_payout	enum	推奨	Yes／Conditional／No／Unknown
payout_currencies	string	推奨	販売者の受取通貨
minimum_payout	string	推奨	最低出金額。手段別差異を含む
payout_schedule	string	推奨	出金周期・保留期間
fee_summary	string	必須	販売手数料・決済手数料の概要
monthly_cost	string	必須	固定費・無料プラン概要
recommended_products	string	必須	商品別おすすめ用途
recommended_seller_stage	string	必須	初心者／成長／事業者等
main_advantage	string	必須	最大の長所
main_caveat	string	必須	最大の注意点
official_url	url	必須	公式トップまたは販売者向けページ
source_products_url	url	必須	対応商品・機能の公式根拠
source_pricing_url	url	必須	料金の公式根拠
source_payout_url	url	必須	出金方法の公式根拠。未確認時は公式ヘルプ
source_tax_mor_url	url	推奨	MoR・税務の公式根拠
confidence	enum	必須	High／Medium／Low
change_risk	enum	必須	High／Medium／Low
last_verified_date	date	必須	YYYY-MM-DD
notes	string	任意	補足・次回確認事項
